user,location,text
SucreComunica,Sincelejo,"#colombia #sincelejo #Reporte Se confirman 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pac… https://t.co/6JVqzcC05t"
PaolaSenadora,Colombia,"#Reporte🦠 Confirmados 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/4ZOWpvewk9"
eliradio,cucuta - colombia,"#Reporte🦠

Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19… https://t.co/LOUnWM6h8n"
Jaime_Lacouture,"Bogotá, DC, Colombia","#Reporte de hoy 1 de abril Confirman 159 casos nuevos y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/cWXgNHtVlJ"
mirandatv22,"Miranda, Colombia","#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/4FX6nWPHmB"
Periodico_Valle,"Guadalajara de Buga, Colombia","#Reporte del Ministerio de Salud confirmados 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 p… https://t.co/hpQxDh1MJ0"
facetasdeboyaca,"Tunja, Boyacá","#CovidEnColombia #Reporte Confirmamos 159 casos nuevos de #coronavirus y 1 fallecido, para un total de 1065 pacient… https://t.co/VeiYVxcBUC"
android_choco,Quibdó - Chocó,"#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/1SrrATCcMo"
ElOjoVallenato,Colombia,"#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/myHx2x4AR5"
wrojaspalma,,"#Reporte🦠 @MinSaludCol Confirma 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con… https://t.co/f0BXeXOLny"
AjuaaNoticiasMx,Saltillo Coahuila,"Suman ya 59 casos confirmados de #Covid_19 en #Coahuila 

#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTR… https://t.co/UJHnnEYPA9"
Capitalsalud,"Bogotá, Villavicencio y 22 mun","#Reporte🦠 @MinSaludCol Confirma 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con… https://t.co/FmNtHqmV53"
MinSaludCol,,"#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/GIdMmeQBc9"
miltonandree,Coahuila,"#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 12:00 horas.

 Co… https://t.co/IZSbUAp5Aw"
GobDeCoahuila,Coahuila de Zaragoza,"#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 🕚12:00 horas.

 C… https://t.co/UK7RudshPt"
VTVcanal8,Venezuela,"#REPORTE VTV 🗣️| El estado Guárico cuenta con tres centros centinelas, uno de ellos en el hospital Dr. Francisco Ur… https://t.co/sQGxcpAzmW"
WazeVen,Venezuela,Vía @INAMEH #1Abr #INAMEHInforma Condiciones Meteorológicas próximas 06 Horas #Reporte de las 12:25 HLV.… https://t.co/XTkIRrfdlF
AGINFOR,En AGENCIA GLOBAL DE INFORMACI,"#AGINFORMACION... ""EL #VEHÍCULO CONTABA CON DOS NÚMEROS DE #SERIE DIFERENTES, UNO DE ELLOS CON #REPORTE DE #ROBO...… https://t.co/eZGAbBCYWy"
G_GomezJ,Santo Domingo,"#Reporte de hoy #MinisteriodeSalud de #RD, dice daumentaron de 51 a 57 los #dominicanos #fallecidos hasta el día de… https://t.co/JJ6Xce0DwS"
Puebla_Enterate,"Puebla, México",#Reporte Vecinos entre Calle Vicente Guerrero y Calle Nicolás Bravo Col. Patrimonio refieren que los perros que se… https://t.co/TziTbqrQ4O
INAMEH,Venezuela,"#1Abr #INAMEHInforma Ubicación de la Zona de Convergencia Intertropical, Baja Presión en el norte de Colombia, dos… https://t.co/GH58TXUMC1"
INAMEH,Venezuela,"#1Abr #INAMEHInforma Condiciones Meteorológicas próximas 06 Horas #Reporte de las 12:25 HLV.
@tutiempopereira… https://t.co/GjcqNA1ZmZ"
bieinoticias,"Buenos Aires, Argentina","#bieitv #reporte @msalnacion 

Encabezado por la Especialista @carlavizzotti 

Miralo en https://t.co/b0DknrMY1Z https://t.co/MelTz9MgMJ"
sofyvaldivia,"Oaxaca, México","#ReporteⓂ️🚔🚨Un hombre fue asesinado a balazos en una vivienda de Salina Cruz, #Oaxaca.

Ⓜ️ El hallazgo se realizó l… https://t.co/v0uh9LXNzM"
sonsonateando,"Sonsonate, El Salvador","#Reporte | Es lamentable la situación, en el primer reporte de la mañana en el Centro de Sonsonate son miles de per… https://t.co/1K0ExBkIX1"
OaxacaesNoticia,,"#Reporte 🚔🚨 Un hombre fue asesinado a balazos en una vivienda de Salina Cruz, #Oaxaca, el cadáver fue encontrado es… https://t.co/a5cwg8xOIX"
jiazhac,Edo. Miranda Los Teques ,@Gabrielasjr #reporte 21811281 Fui a CANTV a ver que pasaba  con este reporte la persona que me atendidio no entien… https://t.co/78hzBudSwJ
ptilogistica,Díaz Gana 1071 piso 1,"#ATENCIÓN- #Reporte N°3 Miércoles 01 de Abril de 2020, 07:40 hrs.💡Revisa todos los reportes en nuestra Fanpage
👉… https://t.co/SXicesphcS"
pintinho9,"BOGOTA, COLOMBIA",@MinSaludCol #Reporte #COVIDー19 @PoliciaColombia @MinSaludCol @BluRadioCo @Bogota @ClaudiaLopez Y QUE TAL SI SE PEG… https://t.co/ZHSkiq1u09
VzlaCovid19,,"#Reporte final del mes de #marzo, por #COVIDー19 en #Venezuela 

#Abril https://t.co/43Nu8KOa2z"
VzlaCovid19,,"#Reporte final del mes de #marzo, por #COVIDー19 en #Venezuela 

#Abril https://t.co/gurnwi42DI"
SoryImbert,México #CDMX,"#DIOS MIO! 😭💔

#Ecuador 🇪🇨:  #Periodista rompe en #llanto  #EnVivo ante un #reporte con respecto al #coronavirus

E… https://t.co/KrffwVmPQY"
CentralReedan,,#1Abr #INAMEHInforma Mapa de Riesgo de Incendios Forestales #Reporte de las 06:00 HLV @tutiempopereira… https://t.co/dn3sd5iSxh
CentralReedan,,"#1Abr #INAMEHInforma Declinación solar hoy en los 5° 00' 44'' Norte, incidiendo perpendicularmente sobre el norte d… https://t.co/hrfgDablnN"
ReporteVialRV,"Dtto Capital, Miranda y Vargas","#Hoy1Abr. En el Kilómetro 14 carretera El Junquito, cola  para surtir gasolina.

#reporte #gasolina #junquito #hoy https://t.co/ipS2DN4oSM"
amuozp,Venezuela,"Mensaje de interés infórmate
 @INAMEH 
@DgnbRedanOrient 
#Repost @INAMEH with make_repost
・・・
#1Abr #INAMEHInforma… https://t.co/e0kTGydYN9"
LaPiedadCity,"La Piedad, Michoacán",¡Buenos días a todos! La temperatura actual es de 16ºC y llegaremos hasta los 31 ºC el día de hoy. #Reporte #Clima #LaPiedad #Michoacan
BFula1970,"Mérida, Venezuela",#1Abr #INAMEHInforma Mapa de Riesgo de Incendios Forestales #Reporte de las 06:00 HLV https://t.co/BAjFLokJUr
GjJuliet,,"#Reporte @SSaludBoyaca

Para hoy 1 de abril confirman 292 tomas de muestras en #Boyacá, en 36 municipios, de las cu… https://t.co/WVBNC89zDx"
UltimaHoraBoy,"Tunja, Colombia","#Reporte @SSaludBoyaca Para hoy 1 de abril confirman 292 tomas de muestras en #Boyacá, en 36 municipios, de las cua… https://t.co/SIzFQm64hq"
PabloRodriguezB,Barranquilla,"Detectados. Atl. 33, Bol. 42, Magd. 10, Sucre1, Cord. 2, Cesar 1.

""#Reporte🦠Confirmamos 108 nuevos casos de Covid1… https://t.co/iOA745L7eR"
INAMEH,Venezuela,"#1Abr #INAMEHInforma Declinación solar hoy en los 5° 00' 44'' Norte, incidiendo perpendicularmente sobre el norte d… https://t.co/NfyFJ3Jar8"
INAMEH,Venezuela,#1Abr #INAMEHInforma  Nubosidad parcial  y zonas despejadas en el resto del país. #Reporte de las 05:30 HLV… https://t.co/mduIkp4ztk
INAMEH,Venezuela,#1Abr #INAMEHInforma  En la Imagen de satélite en canal IR se observa nubosidad convectiva generadora de precipitac… https://t.co/y1IVKFjTd4
INAMEH,Venezuela,#1Abr #INAMEHInforma Pronóstico de Oleaje #Reporte de las 06:00 HLV @tutiempopereira @NestorLReverol… https://t.co/Rn3BABEHZs
INAMEH,Venezuela,#1Abr #INAMEHInforma Mapa de Riesgo de Incendios Forestales #Reporte de las 06:00 HLV @tutiempopereira… https://t.co/2nBt2zMMgN
INAMEH,Venezuela,#1Abr #INAMEHInforma Condiciones Meteorológicas próximas 24 Horas #Reporte de las 06:00 HLV @tutiempopereira… https://t.co/wf0GUFSaMw
acontecer_,,🆘️ #Reporte Aumenta a 29 el número de casos confirmados por #COVIDー19 🦠 en el estado de #Querétaro. A la fecha 6 pa… https://t.co/zJRFTOI2S1
Camilo_2016,,@FernandoFds83 @ClaudiaLopez @Citytv @ReporteYa @PoliciaColombia  @PCMMEBOGOFICIAL @Bogota #Reporte #Bogota… https://t.co/CmnkoWKF8l
eduarbike,"Santa Marta, Colombia",Bueno esperemos que el @MinSaludCol  no las programe para #reporte  sea de 100 pruebas diarias por maquina??🤔🤔🤔🤔 https://t.co/DDpBmVW5MS
juliocastro10,Barranquilla Colombia,"Seguire por aqui leyendolos
#♡ #MartesDeGanarSeguidores #followme #Reporte #RETWEEET"
SaludMonteria,Montería,#Reporte🦠 Cero casos confirmados en Montería al día de hoy. Para más información: https://t.co/qwkWqEvMvX https://t.co/WDud6zQ7LT
2012i8,La Ciudad Perdida ,"Casi atropella a dos señoras en Patriotismo y viaducto
 por ir al teléfono
Una persona le reclamó y se molestó much… https://t.co/aqe9Tm0NPT"
Red5manantiales,"Zaragoza, Coahuila de Zaragoza",#Reporte #Coahuila del Plan Estatal de Prevención del #COVID19 31 Marzo 2020 // 19 Hrs. Aumentan 3 casos más en Mon… https://t.co/THA85IpUae
Zenon_Velazquez,Nava Coahuila,Les comparto el #Reporte #Coahuila del Plan Estatal de Prevención del #COVID19 #YoMeQuedoEnCasa https://t.co/tgF12RiVFM
eliradio,cucuta - colombia,"#Reporte🦠

Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes c… https://t.co/B3pwyKGgw8"
